01:59:34.709 +   0.031s  python=3.14.4 plataforma=win32 modo=salvar
02:02:16.906 + 162.229s  CALLBACK progress: ticker=WINFUT progresso=100
02:02:27.124 + 172.446s  RESULTADO 02/09/2026: negocios=6148231 terminou_por=ok
02:02:49.657 + 194.979s  salvo: data\raw\trade\dt=2026-09-02\sym=WINFUT\part-0000.parquet (6148231 negocios)
02:02:50.071 + 195.393s  dia 02/09/2026 -> data\raw\trade\dt=2026-09-02\sym=WINFUT\part-0000.parquet
02:02:50.071 + 195.393s  --- GetHistoryTrades('WINFUT', 'F', '03/09/2026 09:00:00', '03/09/2026 18:35:00') ---
02:02:50.306 + 195.628s  GetHistoryTrades retornou 0 = NL_OK em 0.3 ms
02:02:50.306 + 195.629s  CALLBACK progress: ticker=WINFUT progresso=0
02:02:50.955 + 196.278s  CALLBACK progress: ticker=WINFUT progresso=89
02:02:51.301 + 196.623s  CALLBACK progress: ticker=WINFUT progresso=90
02:02:51.343 + 196.665s  CALLBACK progress: ticker=WINFUT progresso=91
02:02:51.381 + 196.703s  CALLBACK progress: ticker=WINFUT progresso=92
02:02:51.405 + 196.727s  CALLBACK progress: ticker=WINFUT progresso=93
02:02:51.466 + 196.788s  CALLBACK progress: ticker=WINFUT progresso=94
02:02:51.508 + 196.830s  CALLBACK progress: ticker=WINFUT progresso=95
02:02:51.550 + 196.872s  CALLBACK progress: ticker=WINFUT progresso=96
02:02:51.592 + 196.914s  CALLBACK progress: ticker=WINFUT progresso=97
02:02:51.606 + 196.928s  CALLBACK progress: ticker=WINFUT progresso=98
02:02:51.608 + 196.930s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:51.612 + 196.934s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:52.012 + 197.334s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:52.435 + 197.757s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:52.817 + 198.139s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:53.424 + 198.746s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:53.799 + 199.121s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:54.259 + 199.581s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:54.653 + 199.975s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:55.046 + 200.369s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:55.484 + 200.806s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:55.856 + 201.178s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:56.263 + 201.586s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:56.657 + 201.979s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:57.056 + 202.378s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:57.478 + 202.800s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:57.859 + 203.181s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:58.269 + 203.591s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:58.646 + 203.969s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:59.026 + 204.348s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:59.539 + 204.861s  CALLBACK progress: ticker=WINFUT progresso=99
02:02:59.939 + 205.261s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:00.330 + 205.652s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:01.504 + 206.826s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:01.952 + 207.275s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:02.333 + 207.655s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:02.712 + 208.035s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:03.206 + 208.528s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:03.596 + 208.918s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:04.237 + 209.559s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:04.621 + 209.943s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:05.004 + 210.326s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:05.409 + 210.731s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:05.822 + 211.144s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:06.260 + 211.582s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:06.643 + 211.965s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:07.052 + 212.375s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:07.472 + 212.794s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:07.842 + 213.164s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:08.273 + 213.595s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:08.650 + 213.972s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:09.023 + 214.345s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:09.405 + 214.727s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:09.805 + 215.127s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:10.200 + 215.522s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:10.574 + 215.896s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:10.982 + 216.304s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:11.387 + 216.709s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:11.771 + 217.094s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:12.158 + 217.480s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:12.571 + 217.894s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:12.941 + 218.264s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:13.343 + 218.665s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:13.733 + 219.055s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:14.135 + 219.457s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:14.539 + 219.861s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:14.910 + 220.232s  CALLBACK progress: ticker=WINFUT progresso=99
02:03:15.331 + 220.653s  CALLBACK progress: ticker=WINFUT progresso=99
02:04:05.788 + 271.110s  CALLBACK progress: ticker=WINFUT progresso=100
02:04:16.004 + 281.326s  RESULTADO 03/09/2026: negocios=5821205 terminou_por=ok
02:04:40.736 + 306.058s  salvo: data\raw\trade\dt=2026-09-03\sym=WINFUT\part-0000.parquet (5821205 negocios)
02:04:41.143 + 306.465s  dia 03/09/2026 -> data\raw\trade\dt=2026-09-03\sym=WINFUT\part-0000.parquet
02:04:41.143 + 306.465s  ======================================================================
02:04:41.144 + 306.467s  CONCLUIDO. Proximo passo: profit-tape curate --de 2026-09-02 --ate 2026-09-03 (raiz=data\raw)
02:04:41.147 + 306.469s  CALLBACK state: tipo=0 (LOGIN) valor=1
02:04:41.147 + 306.469s  CALLBACK state: tipo=1 (ROTEAMENTO) valor=0
02:04:41.147 + 306.469s  CALLBACK state: tipo=2 (MARKET_DATA) valor=0
02:04:41.147 + 306.469s  CALLBACK state: tipo=3 (ATIVACAO) valor=1
02:04:45.920 + 311.242s  DLLFinalize retornou 0
02:04:45.920 + 311.242s  log gravado em diagnostico_historico_20260911_015934.log
